Temp1,FlowC1 PressureC1,PressureC1 TempC9,yield
140.4862,59698.65972525,12201.786479999999,69.14016181
147.8079,67502.90875776,13795.768,68.79518716
127.1127,62809.20227306001,12649.94758,69.34127045
129.7365,56057.34075633,11485.54343,69.50015922
130.3556,53149.96901634,10912.710018,69.25439745
127.6363,51771.194545679995,10476.580176000001,69.19695798
128.3133,56185.389521820005,10975.555422,68.3476409
140.8073,59087.56616689,12017.518738,70.27402365
127.8822,50645.27054664,9941.280272,68.96389539
152.8934,59081.363693,12353.81368,66.31538497
140.4949,65832.88174684999,12718.188922,70.09205919
133.4046,58054.79427594,11666.67348,70.01818121
159.0927,55129.0654068,10870.559531370001,67.08052959
145.9709,53422.467133,10935.5873,67.72398688
142.7713,64578.85556008,13411.584536,69.44128409
134.0731,71481.98905704,13736.08953474,69.30400436
139.3302,70081.07799966,14469.355004000001,70.44836136
128.596,59321.783413200006,11411.0997,67.58940328
128.9502,66349.43194041999,12756.371368,69.46258079
132.3029,55576.546606410004,11527.554264,68.17109062
133.9536,56186.40781302,11245.698948,69.52149146
136.4638,56523.36069326,11818.547252,70.1708357
141.5835,65966.72740881001,12773.962248,69.22136745
134.6606,59663.4226135,11523.0226,70.30505441
119.0903,46282.81386496,9372.83072,68.00825661
132.5331,59084.75033265,11562.64536,67.09533024
136.3621,69449.53133388,13589.251683,68.29204198
130.1449,49249.40473008,10016.38508796,69.66409538
129.0805,48036.22294428,9662.03667,69.98295828
127.6677,51811.42765176,10280.970252000001,69.39259405
133.9841,51885.31841382,10285.982457999999,69.89872648
135.5393,57811.793790899996,11526.120312000001,69.94650715
120.5756,46774.39811359,9409.43149993,68.25280598
148.6477,48802.42920888,9559.943401409999,68.39272203
143.2965,46337.96685962,9081.41096,68.4580645
140.8193,47774.483315159996,9344.69636233,69.4581878
133.0551,56479.3975538,11232.525192,69.47875431
131.1826,44317.48214478,8897.16466782,69.76866048
131.9151,44445.056515209995,8997.271114,69.13081503
132.8828,49020.63617,9516.6995,69.72254947
131.7675,44444.873770520004,8874.498271,69.67856537
135.3638,47554.879717309996,9369.678682,68.88677448
131.3479,45668.34126084999,9337.97528895,68.78453977
132.3487,40659.858594410005,8186.803532,68.97361904
131.47,41470.77632048,8341.89041296,70.0302266
131.386,43652.83800328,8938.41919454,69.40464826
131.3447,50798.72808108,10312.812786,69.61281052
148.7621,53299.853950000004,10565.13521,68.17455228
130.1703,46359.07891488,9084.240318,68.68465412
138.6002,64370.70030723,12593.53792359,70.40152209
130.679,48459.4724985,9931.492980500001,70.07025182
133.9586,54178.2988348,11016.712752,69.8942037
130.1602,52833.14223012,10277.69830668,69.22925575
130.3261,46719.1158148,9008.92306,69.48638901
131.3098,51727.4976153,10275.11209,69.73567054
130.679,42157.53803637,8535.925169999999,68.7036476
130.9918,42276.3463276,8748.509769999999,68.9532899
140.0626,51216.7369217,9954.12768,68.79223279
140.0868,49960.8974429,10173.691161820001,69.33350817
146.5876,52936.81201595999,10413.77576166,68.01193362
141.9612,48076.754418000004,9739.41732,68.40337093
136.1624,49548.72471996,9811.80024119,69.28369237
139.5044,51403.633642759996,10123.7488,68.15913891
129.6134,40056.62405532,7910.792868999999,68.45025312
128.0988,42946.5532489,8499.39419,69.36956053
128.3468,42025.12531982001,8431.73371491,68.54633474
127.0319,48992.76903808,9549.005248,69.32275369
129.7405,55280.6903328,10815.593232000001,69.42767879
129.6668,54404.68108566,10703.877586,69.44328193
126.8233,44267.8374196,8561.96486272,67.9797013
130.3023,43963.88027395,8979.183255,68.80611948
128.4205,47082.533679,9217.90062393,69.48959862
125.5936,48283.242158,9511.16406493,69.1287286
138.5455,64000.105439759995,12439.16003652,69.88349268
125.1536,59229.646256199994,12010.642699999999,69.79009081
131.0465,52706.8879554,10832.14286,69.3831685
130.8138,48851.420143049996,9629.13220269,69.03707116
128.9673,51896.149791879994,10524.09306783,69.20242478
130.5328,51575.6183567,10340.150693640002,69.40954608
128.5248,49230.70613538,9614.59049628,69.07271059
131.0491,49057.2108114,9832.733741400001,68.12828793
